net,length_um
net28,2273.815
_19863_,2165.89
_19932_,2098.14
net30,2074.22
net35,2037.37
_19920_,1975.11
net20,1967.82
_19928_,1954.62
net36,1934.91
_19924_,1924.63
_19944_,1913.48
net24,1883.09
_19804_,1848.22
net27,1831.63
_19940_,1827.44
_14021_,1824.28
_19796_,1824.115
_19942_,1797.85
_19917_,1789.54
_19930_,1788.08
net14,1786.1
_19926_,1780.73
_19861_,1777.23
net40,1753.33
_19859_,1750.73
net26,1726.175
_19936_,1698.86
_19951_,1692.82
_19959_,1650.76
net19,1648.92
_19955_,1645.48
net18,1596.93
_19946_,1596.34
_18039_,1596.335
_19593_,1587.91
_03677_,1585.12
_19948_,1576.19
_13771_,1564.285
_19599_,1559.63
_13355_,1558.85
_19595_,1545.94
_19597_,1541
_13942_,1539.775
_14020_,1539.51
_03697_,1536.93
net43,1528.96
_19957_,1526.33
_14180_,1520.25
_19316_,1516.97
_03679_,1515.13
_19589_,1505.8
_19601_,1499.99
_13161_,1486.24
_19608_,1471.85
_19604_,1456.16
_19610_,1453.24
_19582_,1451.83
net32,1451.315
_19586_,1446.36
_19614_,1443.6
_19574_,1431.26
_19612_,1419.06
_19616_,1417.8
_19580_,1415.02
_19584_,1409.62
_18104_,1401.24
_03688_,1399.725
_03682_,1397.27
_15979_,1393.49
_14433_,1388.71
net44,1381.34
_19571_,1378.57
net13,1372.23
_03694_,1370.2
_03686_,1369.13
net16,1365.1
_19578_,1354.6
net31,1353.46
_03690_,1351.8
_13507_,1349.11
_03692_,1344.73
_15726_,1342.25
core.qr1.y0\[10\],1339.13
_18814_,1329.99
net6,1314.94
core.qr1.y0\[21\],1314.285
_19870_,1309.26
_18839_,1301.41
core.qr1.y0\[7\],1301.22
_08406_,1300.88
_03699_,1298.61
net39,1298.48
_13426_,1293.25
_03848_,1286.79
_18833_,1273.86
_14078_,1272.855
_05835_,1270.855
_08284_,1262.93
_13943_,1259.78
_18047_,1258.36
_18836_,1255.25
net52,1254.37
_14101_,1250.69
_08257_,1248.33
_05815_,1242.265
_19742_,1239.19
core.qr1.y0\[6\],1237.25
net73,1231.71
net29,1231.12
_19193_,1222.22
_13700_,1218.665
_05818_,1217.86
_10522_,1217.175
_08555_,1215.74
_17567_,1214.505
net2,1208.76
_08265_,1206.75
net5,1203.68
_14022_,1200.6
_08488_,1196.08
_19620_,1187.41
_19516_,1186.8
_13506_,1182.91
_19626_,1181.36
net9,1176.81
net3,1173.44
_15716_,1172.1
_19630_,1168.73
_19624_,1162.78
_19457_,1162.54
_19446_,1157.56
_19235_,1156.38
_19637_,1155.21
_18873_,1154.38
_18101_,1151.09
_19514_,1147.43
_18828_,1137.76
_19628_,1136.44
_19512_,1131.72
_08514_,1126.1
_15661_,1124.93
_10521_,1123.88
_08704_,1120.25
_08586_,1119.775
_19635_,1118.58
_08542_,1112.21
_14811_,1108.49
_19632_,1105.06
core.x5_reg\[20\],1098.16
_09267_,1096.17
core.x5_reg\[10\],1095.395
_08536_,1092.42
_08683_,1082.09
_08504_,1079.31
_08403_,1074.68
_08350_,1071.27
_04094_,1068.34
net1519,1066.06
_08570_,1065.39
_18089_,1063.67
core.x5_reg\[18\],1059.79
core.x5_reg\[17\],1053.65
_19191_,1051.12
_03791_,1050.84
core.x5_reg\[21\],1049.27
_03808_,1046.65
_13124_,1046.07
_14965_,1037.94
net21,1037.81
_08417_,1037.53
_08579_,1034.3
net55,1033.14
_18862_,1032.14
_14085_,1031.28
net33,1028.75
_05836_,1025.79
net58,1021.94
core.x5_reg\[8\],1020.975
net64,1019.4
_12242_,1014.28
core.x5_reg\[9\],1012.465
_06151_,1010.99
core.x5_reg\[16\],1010.79
_18842_,1009.05
_18103_,1005.96
_08722_,1005.39
_08376_,1004.855
_15958_,1004.26
core.x5_reg\[14\],1004.01
_04065_,1003.02
core.qr3.y0\[1\],1002.97
core.x5_reg\[12\],1000.84
_19905_,1000.75
_15960_,1000.43
_07337_,999.06
core.x5_reg\[13\],995.48
_08338_,993.36
_08193_,992.62
_18875_,990.37
core.x5_reg\[11\],989.82
_18869_,985.73
_18871_,984.28
_18048_,984.03
_07950_,982.85
_08566_,981.72
core.x6_reg\[10\],981.62
_10550_,978.875
core.x5_reg\[15\],975.71
_14174_,974.49
_19209_,972.21
_11080_,972.07
core.x6_reg\[8\],972.055
_05810_,970.41
net45,969.19
_09373_,963.9
net15,963.46
_15738_,960.26
net47,959.18
core.x6_reg\[12\],958.74
net65,956.48
core.x6_reg\[9\],954.48
_10779_,949.7
_08685_,949.48
_04070_,947.42
_07293_,946.3
core.x6_reg\[11\],945.93
_19187_,944.97
core.data_out_valid_new,944.76
core.x5_reg\[23\],944.55
_08456_,944.33
core.x5_reg\[19\],943.51
_19205_,941.22
_18040_,939.3
_13376_,938.49
_18885_,935.34
_04620_,934.72
core.x5_reg\[28\],933
core.x5_reg\[25\],932.03
core.x5_reg\[24\],931.15
_19214_,929.25
core.x5_reg\[22\],927.81
_19201_,925.97
_13379_,924.86
_15486_,923.63
_05771_,923.11
_04532_,921.65
_19203_,919.47
core.qr3.y0\[2\],918.41
core.x6_reg\[14\],917.78
core.qr2.y0\[8\],917.355
core.x6_reg\[13\],917.2
_09955_,915.65
net22,913.66
_19216_,911.23
_07006_,909.91
_13941_,908.75
_19222_,907.85
_11066_,907.64
net41,907.29
_19185_,906.41
_19254_,903.31
core.x5_reg\[29\],902.96
core.x5_reg\[30\],902.22
core.state2_reg\[2\],901.01
_05922_,899.1
_19207_,896.7
core.x5_reg\[7\],896.695
_19218_,895.81
core.x5_reg\[26\],895.32
core.x6_reg\[7\],893.17
net57,892.53
net25,891.78
_14609_,889.96
_18889_,889.79
_15223_,889.32
_19257_,888.71
_18883_,885.34
_09865_,885.1
_09117_,883.95
_09587_,881.07
net71,880.1
_19220_,879.855
core.qr2.y0\[28\],879.725
_10689_,879.56
_19224_,878.73
_18867_,878.27
core.x6_reg\[15\],878.22
core.qr2.y0\[31\],877.74
_19444_,876.17
_09809_,876.06
net62,875.78
_09738_,875.67
core.x5_reg\[27\],875.61
_19250_,875.26
core.qr3.y0\[31\],874.895
_09693_,873.86
_10696_,873.81
core.qr2.y0\[30\],871.75
_15592_,870.85
_05814_,868.835
core.qr0.y0\[12\],867.42
_13530_,867.275
core.qr1.y0\[1\],865.19
_13533_,863.795
core.x4_reg\[9\],862.9
_13935_,862.82
net42,862.24
_19199_,862.175
_09620_,857.52
_09421_,856.795
core.x5_reg\[31\],856.72
_11051_,855.69
core.x4_reg\[20\],855.125
_19434_,854.65
_10667_,854.43
_09397_,854.18
_09745_,853
core.x6_reg\[6\],852.78
_05990_,852.555
_18856_,852.45
core.key0_reg\[3\],851.375
_19239_,851.11
_15236_,850.98
_10810_,848.75
net63,847.78
net46,846.84
core.x4_reg\[12\],846.58
_19189_,845.86
_17218_,845.12
data_out13_reg\[3\],845.12
_18831_,845.08
_18084_,843.02
_10868_,842.56
_12729_,842.11
core.x6_reg\[20\],841.79
_18887_,840.18
_06157_,840.12
_05347_,839.54
data_out13_reg\[4\],838.525
core.x6_reg\[2\],838.01
_08051_,837.51
_05988_,836.255
core.x4_reg\[23\],835.96
core.x6_reg\[5\],835.705
core.x5_reg\[6\],833.36
core.key1_reg\[13\],832.8
_13382_,831.8
core.x4_reg\[31\],831.66
_05292_,831.64
core.x6_reg\[3\],830.74
_17141_,830.16
_14084_,829.66
_18877_,829.01
_07324_,828.88
_05050_,828.775
core.key1_reg\[10\],828.44
_06695_,828.09
_09654_,825.96
_11825_,825.93
_10678_,824.495
_18854_,824.47
core.x5_reg\[2\],824.01
_11072_,823.73
_09418_,823.64
net76,822.68
core.qr2.y0\[1\],822.58
_19248_,822.23
_04614_,821.65
core.x6_reg\[4\],821.49
core.x5_reg\[4\],821.36
_13356_,821.22
core.x5_reg\[0\],820.235
_12252_,820.18
core.x6_reg\[0\],816.91
_07219_,816.67
_03970_,816.43
_15994_,814.9
_09502_,814.79
_09635_,811.64
_11952_,811.06
_09537_,810.43
core.x5_reg\[3\],809.75
_10496_,809.54
_10877_,809.5
core.x4_reg\[21\],808.98
_15996_,807.23
core.x6_reg\[21\],807.2
core.x5_reg\[5\],807.1
_09540_,805.62
_04354_,804.62
_05982_,804.07
core.key1_reg\[14\],803.71
_09607_,803.44
core.x6_reg\[22\],802.9
core.x4_reg\[18\],802.79
core.x6_reg\[16\],802.72
core.key0_reg\[19\],802.16
_09742_,802.09
_09858_,802.015
net34,801.52
_07216_,800.44
core.qr0.y0\[31\],799.64
core.x6_reg\[31\],798.57
core.key0_reg\[1\],798.29
_12227_,797.8
_15100_,797.47
_09889_,797.14
core.x6_reg\[18\],797.06
_09642_,796.65
_10894_,796.58
net77,796.05
net50,794.65
_19345_,794.27
core.x6_reg\[1\],793.53
net74,793.31
_11047_,793.14
core.x5_reg\[1\],792.25
core.x4_reg\[17\],792.11
_10333_,791.69
_19229_,791
_10642_,790.96
_10814_,790.94
_13132_,790.72
_12275_,790.705
_07309_,790.18
core.x4_reg\[30\],790.14
_07314_,788.575
net3463,787.8
_18100_,787.34
data_out13_reg\[29\],787.17
_07239_,786.66
_07301_,786.42
_09732_,786.12
core.x6_reg\[19\],783.27
_19233_,782.3
core.qr2.y0\[4\],782.12
_18860_,780.9
_16010_,780.5
_14664_,780.26
core.x6_reg\[17\],780.17
core.x6_reg\[23\],779.95
_19231_,779.77
net17,779.18
_18858_,778.87
core.x4_reg\[24\],778.15
core.x4_reg\[14\],777.9
core.x6_reg\[27\],777.7
_05304_,776.78
core.x4_reg\[29\],774.38
_06927_,774.2
core.x4_reg\[28\],773.37
_09866_,772.58
core.x4_reg\[19\],772.425
_09791_,770.49
net4172,768.98
_07019_,767.58
net3467,767.4
core.x6_reg\[26\],766.23
data_out2_reg\[3\],765.12
core.x4_reg\[16\],764.68
core.x4_reg\[27\],764.04
_09582_,763.82
core.x6_reg\[28\],763.18
_07156_,761.99
_08189_,761.745
_11814_,761.59
core.x4_reg\[15\],760.54
_10890_,760.3
core.x4_reg\[22\],760.04
_09579_,759.715
_08050_,759.33
net4227,759.04
data_out14_reg\[27\],758.46
core.key1_reg\[12\],758.42
_13369_,757.67
core.x6_reg\[24\],757.62
core.qr2.y0\[13\],756.635
_07936_,756.33
_07431_,756.16
core.x4_reg\[13\],755.635
core.x6_reg\[29\],755.58
net60,755.46
clk,753.6
_04613_,751.27
_07910_,750.78
core.x4_reg\[0\],750.09
_07397_,749.96
_05298_,749.4
_10751_,749.19
net8,748.06
core.key1_reg\[8\],747.415
_18891_,747.15
core.x6_reg\[25\],746.96
net75,746.94
core.x13_reg\[20\],746.72
net10,746.22
net4397,746.2
core.qr0.y0\[1\],743.74
data_out2_reg\[2\],742.78
core.x6_reg\[30\],742.48
net4384,741.3
net4316,740.98
_10776_,740.32
_10886_,740.29
_07194_,740.12
_09849_,739.8
_19237_,738.14
_09874_,736.82
_07361_,736.76
_07415_,736.36
core.qr0.y0\[23\],736.15
data_out14_reg\[28\],735.3
core.x4_reg\[11\],734.515
_10402_,733.32
_07347_,733.2
core.key1_reg\[17\],732.92
_10789_,732.34
net4069,732.15
